Events,Date,Active
,05-Mar,1
,06-Mar,2
,07-Mar,2
,08-Mar,4
,09-Mar,7
,10-Mar,14
,11-Mar,19
,12-Mar,23
,13-Mar,29
,14-Mar,39
Schools & Daycares Closed,15-Mar,56
,16-Mar,74
AB State of Emergency,17-Mar,97
,18-Mar,119
,19-Mar,143
,20-Mar,191
,21-Mar,222
,22-Mar,255
,23-Mar,297
,24-Mar,353
,25-Mar,414
,26-Mar,457
Non-essential Business Closures,27-Mar,507
,28-Mar,566
,29-Mar,585
Testing protocol changes.,30-Mar,588
,31-Mar,625
,01-Apr,718
,02-Apr,781
,03-Apr,861
,04-Apr,921
,05-Apr,948
,06-Apr,963
,07-Apr,900
,08-Apr,875
,09-Apr,827
,10-Apr,748
,11-Apr,755
,12-Apr,784
,13-Apr,809
,14-Apr,908
,15-Apr,"1,034"
,16-Apr,"1,194"
,17-Apr,"1,223"
,18-Apr,"1,349"
,19-Apr,"1,550"
,20-Apr,"1,619"
,21-Apr,"1,761"
,22-Apr,"2,025"
,23-Apr,"2,296"
,24-Apr,"2,548"
,25-Apr,"2,689"
,26-Apr,"2,858"
,27-Apr,"2,957"
,28-Apr,"2,970"
,29-Apr,"3,125"
,30-Apr,"3,105"
,01-May,"3,122"
,02-May,"3,042"
,03-May,"2,958"
,04-May,"2,790"
,05-May,"2,568"
,06-May,"2,299"
,07-May,"2,094"
,08-May,"1,963"
,09-May,"1,837"
,10-May,"1,747"
,11-May,"1,524"
,12-May,"1,361"
,13-May,"1,211"
AB Stage 1 (excl. Calgary/Brooks),14-May,"1,131"
,15-May,"1,073"
,16-May,"1,084"
,17-May,"1,064"
,18-May,"1,036"
,19-May,"1,006"
,20-May,970
,21-May,926
,22-May,865
,23-May,814
,24-May,801
Stage 1 for Calgary/Brooks,25-May,762
,26-May,714
,27-May,679
,28-May,651
,29-May,616
,30-May,604
,31-May,584
,01-Jun,400
,02-Jun,377
,03-Jun,344
,04-Jun,334
,05-Jun,328
,06-Jun,336
,07-Jun,358
,08-Jun,355
,09-Jun,356
,10-Jun,371
,11-Jun,379
Stage 2 Begins in Alberta,12-Jun,386
,13-Jun,403
,14-Jun,422
,15-Jun,440
,16-Jun,455
,17-Jun,492
,18-Jun,489
,19-Jun,512
,20-Jun,525
,21-Jun,534
,22-Jun,542
,23-Jun,532
,24-Jun,538
,25-Jun,506
,26-Jun,509
,27-Jun,520
,28-Jun,520
,29-Jun,559
,30-Jun,547
,01-Jul,547
,02-Jul,542
,03-Jul,572
,04-Jul,572
,05-Jul,572
,06-Jul,607
,07-Jul,620
,08-Jul,608
,09-Jul,584
,10-Jul,592
