Events,Date,Deaths
,05-Mar,0
,06-Mar,0
,07-Mar,0
,08-Mar,0
,09-Mar,0
,10-Mar,0
,11-Mar,0
,12-Mar,0
,13-Mar,0
,14-Mar,0
Schools & Daycares Closed,15-Mar,0
,16-Mar,0
AB State of Emergency,17-Mar,0
,18-Mar,0
,19-Mar,1
,20-Mar,1
,21-Mar,1
,22-Mar,1
,23-Mar,1
,24-Mar,2
,25-Mar,2
,26-Mar,2
Non-essential Business Closures,27-Mar,2
,28-Mar,2
,29-Mar,3
Testing protocol changes.,30-Mar,8
,31-Mar,9
,01-Apr,11
,02-Apr,13
,03-Apr,18
,04-Apr,20
,05-Apr,23
,06-Apr,24
,07-Apr,26
,08-Apr,29
,09-Apr,32
,10-Apr,39
,11-Apr,40
,12-Apr,44
,13-Apr,46
,14-Apr,48
,15-Apr,48
,16-Apr,50
,17-Apr,50
,18-Apr,51
,19-Apr,55
,20-Apr,59
,21-Apr,61
,22-Apr,66
,23-Apr,67
,24-Apr,72
,25-Apr,73
,26-Apr,73
,27-Apr,75
,28-Apr,80
,29-Apr,87
,30-Apr,89
,01-May,92
,02-May,94
,03-May,95
,04-May,104
,05-May,106
,06-May,112
,07-May,114
,08-May,115
,09-May,116
,10-May,117
,11-May,117
,12-May,118
,13-May,120
AB Stage 1 (excl. Calgary/Brooks),14-May,121
,15-May,125
,16-May,126
,17-May,127
,18-May,128
,19-May,128
,20-May,128
,21-May,132
,22-May,134
,23-May,135
,24-May,135
Stage 1 for Calgary/Brooks,25-May,138
,26-May,139
,27-May,141
,28-May,143
,29-May,143
,30-May,143
,31-May,143
,01-Jun,143
,02-Jun,143
,03-Jun,145
,04-Jun,146
,05-Jun,146
,06-Jun,146
,07-Jun,149
,08-Jun,149
,09-Jun,151
,10-Jun,151
,11-Jun,149
Stage 2 Begins in Alberta,12-Jun,149
,13-Jun,150
,14-Jun,150
,15-Jun,151
,16-Jun,151
,17-Jun,151
,18-Jun,152
,19-Jun,152
,20-Jun,152
,21-Jun,152
,22-Jun,153
,23-Jun,153
,24-Jun,153
,25-Jun,154
,26-Jun,154
,27-Jun,154
,28-Jun,154
,29-Jun,154
,30-Jun,154
,01-Jul,154
,02-Jul,155
,03-Jul,155
,04-Jul,155
,05-Jul,155
,06-Jul,155
,07-Jul,157
,08-Jul,158
,09-Jul,161
,10-Jul,160
